Geneid	Chr	Start	End	Strand	Length	R5_Solid1_counts	T3_CS1_counts	350_Sco1_counts	T1_CS2_counts	T3_PS2_counts	T4_PS1_counts	T4_CS2_counts	T1_PS2_counts	T3_PS1_counts	T1_CS1_counts	T2_PS2_counts	350_Sco2_counts	T4_PS2_counts	T1_PS1_counts	T2_PS1_counts	T2_CS2_counts	CTT_Sco1_counts	T2_CS1_counts	T4_CS1_counts	CTT_Sco2_counts	T3_CS2_counts	R5_Solid2_counts
SCO4011	NC_003888.3	4407941	4408411	+	471	569.0	755.0	1176.0	1269.0	857.0	413.0	368.0	312.0	1151.0	771.0	4105.0	1076.0	544.0	2159.0	2893.0	1017.0	2114.0	1230.0	427.0	2438.0	821.0	549.0
SCO4012	NC_003888.3	4408410	4408838	-	429	15.0	7.0	9.0	7.0	10.0	7.0	13.0	4.0	9.0	6.0	42.0	10.0	11.0	39.0	42.0	16.0	14.0	18.0	14.0	11.0	33.0	15.0
SCO4013	NC_003888.3	4409067	4410551	+	1485	1289.0	1404.0	1735.0	3272.0	1894.0	1312.0	1152.0	1239.0	1923.0	2016.0	2109.0	1653.0	1349.0	2946.0	1920.0	1109.0	2025.0	1322.0	1636.0	1935.0	1110.0	1833.0
SCO4014	NC_003888.3	4410580	4410936	-	357	147.0	328.0	81.0	69.0	401.0	292.0	204.0	64.0	448.0	48.0	380.0	62.0	304.0	145.0	260.0	61.0	104.0	57.0	319.0	126.0	319.0	166.0
SCO4015	NC_003888.3	4410971	4411891	+	921	53.0	122.0	69.0	43.0	76.0	60.0	101.0	13.0	67.0	27.0	69.0	66.0	81.0	155.0	54.0	48.0	18.0	37.0	179.0	26.0	109.0	63.0
SCO4016	NC_003888.3	4412004	4412954	+	951	68.0	53.0	68.0	64.0	42.0	46.0	48.0	28.0	62.0	33.0	102.0	86.0	49.0	136.0	78.0	55.0	39.0	35.0	66.0	42.0	67.0	132.0
SCO4017	NC_003888.3	4413020	4413733	-	714	22.0	27.0	26.5	21.5	14.0	16.0	11.0	5.5	9.5	19.0	34.5	20.5	19.0	99.0	20.5	14.5	3.0	11.0	5.5	7.0	29.0	23.0
SCO4018	NC_003888.3	4413745	4414275	-	531	21.0	12.0	15.5	9.5	18.0	16.0	22.0	13.5	13.5	11.0	10.5	28.5	23.0	102.5	19.5	5.0	2.0	8.0	40.5	2.0	32.0	9.0
SCO4019	NC_003888.3	4414377	4415066	+	690	24.0	198.5	19.0	29.0	204.5	93.5	164.5	16.0	186.0	20.0	74.0	7.0	114.0	118.5	59.5	38.0	11.0	25.0	253.5	14.0	252.5	38.0
SCO4020	NC_003888.3	4415129	4415941	+	813	133.5	37.5	20.0	130.5	36.5	25.0	33.5	35.5	54.0	78.0	28.5	17.0	18.0	230.0	31.5	29.0	65.0	24.0	75.0	72.0	121.5	151.0
SCO4021	NC_003888.3	4415941	4417512	+	1572	45.0	10.0	12.0	51.0	2.5	6.5	12.0	13.5	2.0	18.0	35.5	9.0	0.0	209.5	32.5	3.0	25.0	1.0	25.5	32.0	65.0	49.5
SCO4022	NC_003888.3	4417530	4418876	+	1347	19.5	5.0	3.5	5.5	4.5	2.0	4.0	0.0	4.0	9.0	21.5	4.0	4.0	95.0	25.0	4.0	3.0	1.0	10.0	0.0	35.0	18.0
SCO4023	NC_003888.3	4418876	4421074	+	2199	11.5	3.0	9.5	6.5	10.0	13.5	25.0	4.0	13.0	3.5	20.0	10.0	11.0	195.0	41.5	2.0	1.0	1.0	23.0	3.0	40.0	19.5
SCO4024	NC_003888.3	4421136	4422656	+	1521	29.0	6.0	6.0	9.5	8.0	10.5	12.0	5.0	18.0	6.5	41.5	9.0	14.0	119.0	43.0	2.5	7.0	3.0	22.0	8.0	56.0	50.0
SCO4025	NC_003888.3	4422721	4423476	+	756	106.5	173.0	35.0	112.0	190.0	248.0	196.0	29.0	192.0	60.0	125.0	48.0	221.0	153.0	131.0	80.5	29.0	88.0	295.0	19.0	171.0	113.0
SCO4026	NC_003888.3	4423552	4424019	-	468	271.0	678.0	154.0	437.5	903.5	611.0	526.0	229.0	864.0	360.5	498.0	115.5	609.0	597.5	392.5	396.5	140.0	304.0	885.0	109.5	741.5	396.5
SCO4027	NC_003888.3	4424032	4424409	-	378	2395.0	1594.0	162.0	532.5	1914.5	1312.0	782.0	188.0	1950.0	302.5	1554.0	146.5	1395.0	567.5	1692.5	957.5	306.0	975.0	1340.0	295.5	1184.5	2385.5
SCO4028	NC_003888.3	4424566	4425384	+	819	451.5	185.0	27.0	149.0	304.5	249.5	167.0	129.5	206.5	92.0	70.5	36.0	226.0	492.0	115.5	70.5	84.5	79.5	296.0	97.0	173.5	491.5
SCO4029	NC_003888.3	4425406	4426152	+	747	112.5	29.0	6.0	54.0	35.5	36.5	40.0	24.5	21.5	29.0	31.5	8.0	25.0	169.0	47.5	10.5	22.5	12.5	46.0	31.0	49.5	148.5
SCO4030	NC_003888.3	4426141	4426959	-	819	8.0	10.0	2.0	2.0	2.0	4.0	5.0	1.0	6.0	4.0	20.0	2.0	8.0	77.0	12.0	5.0	2.0	3.0	7.0	4.0	20.0	2.0
SCO4031	NC_003888.3	4427072	4429648	-	2577	137.0	60.0	15.0	12.0	87.0	72.0	50.5	9.0	102.0	10.0	71.0	10.0	84.5	190.5	96.0	28.0	29.0	50.0	94.0	26.0	98.0	93.5
SCO4032	NC_003888.3	4429665	4430162	-	498	46.0	15.0	0.0	1.0	12.0	8.0	11.5	0.0	15.0	0.0	28.0	2.0	6.5	20.5	16.0	11.0	6.0	5.0	29.0	20.0	19.0	16.5
SCO4033	NC_003888.3	4430278	4430565	+	288	165.0	189.0	61.0	103.0	170.0	200.0	205.0	33.0	145.0	53.0	162.0	103.0	189.0	243.0	194.0	108.0	23.0	68.0	411.0	51.0	121.0	219.0
SCO4034	NC_003888.3	4430687	4431640	-	954	7005.0	17818.0	1455.0	10643.0	14948.0	14832.0	11772.0	4377.0	15908.0	4331.0	6420.0	1292.0	14032.0	22999.0	6369.0	4683.0	4014.0	4636.0	17790.0	4523.0	11245.0	6092.0
SCO4035	NC_003888.3	4431935	4432795	-	861	346.0	18.0	6.0	2.0	20.0	13.0	29.0	0.0	19.0	4.0	36.0	4.0	8.0	84.0	23.0	2.0	7.0	7.0	34.0	8.0	34.0	288.0
SCO4036	NC_003888.3	4432991	4433281	-	291	311.5	404.5	284.5	209.0	653.5	439.0	272.5	157.5	683.5	129.5	192.5	180.5	454.5	447.5	180.0	120.5	330.0	115.0	415.0	311.0	279.5	462.0
SCO4037	NC_003888.3	4433284	4433457	-	174	425.5	108.5	80.5	88.0	140.5	82.0	62.5	115.5	143.5	86.5	121.5	107.5	96.5	80.5	155.0	96.5	132.0	82.0	130.0	132.0	71.5	565.0
SCO4038	NC_003888.3	4433711	4434139	-	429	163.0	429.0	31.0	252.5	304.5	530.0	436.0	65.0	367.5	82.0	165.0	34.0	474.5	955.5	219.5	154.0	52.0	98.0	746.5	64.0	471.5	209.5
SCO4039	NC_003888.3	4434211	4434756	-	546	1742.0	1989.0	335.0	1746.5	2191.5	3022.0	1863.0	827.0	1977.5	707.0	1517.0	325.0	2783.5	1449.5	2058.5	1476.0	473.0	1725.0	2861.5	435.0	1824.5	1702.5
SCO4040	NC_003888.3	4434929	4435390	+	462	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	19.5	0.0	0.0	36.0	13.5	2.0	0.0	1.0	0.0	0.0	12.0	5.0
SCO4041	NC_003888.3	4435469	4436110	+	642	1100.0	1344.0	592.0	1664.0	1182.0	808.0	988.0	672.0	1167.0	531.0	1047.5	403.0	885.0	3020.0	848.5	414.0	772.0	382.0	1607.0	835.0	730.0	1577.0
SCO4042	NC_003888.3	4436141	4436752	-	612	218.0	622.0	83.0	111.0	630.0	561.0	401.0	53.0	643.0	35.0	128.0	70.0	581.0	307.0	133.0	111.0	86.0	98.0	581.0	80.0	386.0	282.0
SCO4043	NC_003888.3	4436891	4437184	-	294	536.0	291.0	127.0	135.0	385.0	275.0	197.0	50.0	474.0	104.0	232.0	133.0	286.0	230.0	215.0	192.0	192.0	173.0	361.0	183.0	263.0	940.0
SCO4044	NC_003888.3	4437234	4437935	+	702	4.0	10.0	4.0	0.0	6.0	2.0	4.0	0.0	8.0	0.0	0.0	1.0	7.0	78.0	16.0	1.0	0.0	0.0	13.0	0.0	18.0	4.0
SCO4045	NC_003888.3	4437972	4438649	-	678	155.0	10.0	11.0	20.0	15.0	11.0	8.0	3.0	23.0	6.0	21.0	7.0	13.0	94.0	36.0	4.0	5.0	0.0	24.0	3.0	36.0	225.0
SCO4046	NC_003888.3	4438742	4439197	-	456	55.0	18.0	111.5	67.5	11.0	13.0	14.0	31.5	17.0	28.5	38.0	101.0	14.5	115.0	41.5	2.5	18.5	12.5	32.5	10.5	30.0	72.0
SCO4047	NC_003888.3	4439201	4439791	-	591	263.0	50.0	740.0	987.5	82.5	68.0	69.0	401.5	89.0	310.5	102.0	599.0	62.5	1182.5	83.0	56.5	77.5	40.0	80.5	81.5	78.0	287.5
SCO4048	NC_003888.3	4439820	4440542	-	723	71.5	6.0	1062.5	1669.5	15.5	17.0	4.0	455.0	5.0	583.0	40.0	956.0	10.0	2120.5	57.0	11.0	17.0	4.5	22.0	30.0	36.0	114.5
SCO4049	NC_003888.3	4440627	4442972	+	2346	36.0	13.0	301.5	446.0	7.5	11.5	14.0	136.0	15.0	237.5	49.5	523.5	5.5	1578.0	64.5	6.0	9.5	6.5	21.5	9.0	108.0	50.0
SCO4050	NC_003888.3	4442968	4443585	+	618	28.0	4.0	217.0	364.5	6.0	6.5	25.5	79.0	12.0	163.5	16.0	227.0	9.5	410.0	17.5	3.0	14.0	5.0	20.5	8.0	29.0	41.0
SCO4051	NC_003888.3	4443585	4444079	+	495	21.0	40.0	74.5	93.0	56.5	46.0	44.5	25.0	61.0	52.0	25.5	76.0	39.5	270.0	27.0	9.5	9.0	13.0	48.5	11.0	42.5	33.0
SCO4052	NC_003888.3	4444079	4444870	+	792	41.0	59.0	81.0	29.5	47.0	41.0	46.0	11.0	34.0	30.0	40.0	57.5	42.5	187.0	47.0	9.5	11.5	13.5	62.5	21.0	62.5	44.0
SCO4053	NC_003888.3	4445276	4447042	+	1767	198.0	77.0	7.0	20.0	47.0	52.0	59.0	11.0	59.0	8.0	57.0	9.0	57.0	204.0	65.0	18.0	17.0	16.0	65.0	12.0	117.0	247.0
SCO4054	NC_003888.3	4447284	4447967	+	684	136.0	680.0	352.0	352.0	452.0	364.0	434.0	48.0	493.0	116.0	304.0	213.0	415.0	180.0	247.0	351.0	78.0	290.0	712.0	84.0	485.0	213.0
SCO4055	NC_003888.3	4447970	4449100	-	1131	3317.0	566.0	208.0	132.0	296.0	232.0	419.0	33.0	389.0	71.0	274.0	324.0	275.0	157.0	183.0	193.0	592.0	194.0	604.0	540.0	255.0	4487.0
SCO4056	NC_003888.3	4449241	4449429	+	189	218.0	114.0	27.0	37.0	44.0	39.0	69.0	26.0	61.0	15.0	49.0	27.0	35.0	40.0	36.0	6.0	22.0	20.0	76.0	23.0	24.0	172.0
SCO4057	NC_003888.3	4449458	4450345	-	888	1543.0	78.0	13.0	4.0	47.0	30.0	65.0	2.0	66.0	0.0	64.0	15.0	24.0	39.0	54.0	20.0	20.0	16.0	144.0	21.0	64.0	1562.0
SCO4058	NC_003888.3	4450575	4451075	+	501	93.5	416.5	59.0	108.0	360.0	277.5	255.0	34.0	403.5	25.0	293.5	53.5	257.0	116.5	160.5	135.0	46.5	118.0	402.0	35.0	256.5	123.0
SCO4059	NC_003888.3	4451075	4451407	+	333	19.5	316.5	31.0	41.0	315.0	198.5	220.0	12.0	351.5	18.0	104.5	45.5	205.0	147.5	57.5	46.0	23.5	49.0	370.0	20.0	259.5	53.0
SCO4060	NC_003888.3	4451653	4452060	+	408	54.0	12.0	7.0	5.0	6.0	3.0	2.0	1.0	9.0	7.0	6.0	15.0	9.0	9.0	10.0	1.0	3.0	1.0	8.0	8.0	2.0	52.0
SCO4061	NC_003888.3	4452176	4452730	-	555	193.0	19.0	31.0	10.0	60.0	67.0	33.0	13.0	54.0	5.0	136.0	21.0	56.0	29.5	154.5	33.0	7.0	36.0	52.0	9.0	7.0	185.5
SCO4062	NC_003888.3	4452748	4453254	+	507	43.5	21.5	11.0	9.5	22.5	9.0	7.0	5.0	16.0	6.5	21.5	8.0	16.5	29.5	15.0	7.83	12.5	7.5	7.0	16.0	12.0	48.5
SCO4063	NC_003888.3	4453502	4453855	-	354	389.5	22.0	68.0	34.5	49.5	20.0	18.0	15.0	62.0	18.5	33.0	77.0	28.5	67.0	41.5	31.5	28.0	44.0	25.0	16.0	12.0	325.0
SCO4064	NC_003888.3	4453891	4454151	-	261	11.5	0.0	0.0	0.5	7.5	1.0	4.0	0.0	5.0	0.5	2.0	2.0	2.5	0.0	4.5	0.5	3.0	2.0	4.0	0.0	17.0	12.0
SCO4065	NC_003888.3	4454567	4455793	-	1227	16.0	4.0	2.0	0.0	6.0	5.0	7.0	2.0	4.0	1.0	58.0	6.0	3.0	64.0	43.0	3.0	2.0	1.0	5.0	1.0	6.0	10.0
SCO4066	NC_003888.3	4455786	4456856	+	1071	27.0	21.0	14.0	3.0	6.0	1.0	0.0	2.0	6.0	5.0	21.0	11.0	8.0	46.0	14.0	6.0	6.0	6.0	8.0	7.0	5.0	28.0
SCO4067	NC_003888.3	4457168	4459519	+	2352	1118.0	1669.0	1213.0	599.0	1693.0	1179.0	1387.0	348.0	1691.0	302.0	1044.0	1436.0	1166.0	1024.0	1098.0	511.0	467.0	416.0	2211.0	518.0	1563.0	1197.0
SCO4068	NC_003888.3	4459642	4460889	+	1248	244.0	509.0	132.0	732.0	571.0	444.0	674.0	366.0	475.0	302.0	108.0	122.0	411.0	3070.0	178.0	80.0	204.0	92.0	1272.0	207.0	500.0	398.0
SCO4069	NC_003888.3	4461199	4463190	+	1992	1060.0	1994.0	164.0	257.0	1515.0	1893.0	1992.0	168.0	1666.0	227.0	610.0	173.0	1817.0	1561.0	780.0	528.0	302.0	458.0	3131.0	277.0	1711.0	1128.0
SCO4070	NC_003888.3	4463358	4464872	+	1515	2198.0	9382.0	1073.0	772.0	8750.0	6554.0	5623.0	302.0	10406.0	356.0	4281.0	1275.0	7000.0	1977.0	2563.0	2774.0	1165.0	1838.0	8124.0	1410.0	6252.0	2337.0
SCO4071	NC_003888.3	4464986	4465882	+	897	977.0	1455.0	638.0	1430.0	2212.0	2070.0	1725.0	647.0	1874.0	552.0	1132.0	522.0	1972.0	2584.0	1079.0	599.0	799.0	516.0	3010.0	895.0	1498.0	1187.0
SCO4072	NC_003888.3	4466066	4466665	-	600	30.0	101.5	6.5	168.0	78.0	70.5	53.5	14.0	62.0	44.0	49.0	9.0	59.5	191.0	45.5	39.0	6.5	35.5	137.0	9.0	111.0	33.5
SCO4073	NC_003888.3	4466677	4467921	-	1245	98.0	293.5	35.5	867.5	201.5	161.5	208.0	92.5	134.5	288.0	189.5	50.0	141.0	681.5	207.5	208.5	56.5	218.5	280.0	57.0	189.0	171.5
SCO4074	NC_003888.3	4467954	4468766	-	813	44.0	270.5	9.0	829.0	216.0	114.0	271.5	123.0	191.5	215.5	157.5	6.0	159.0	519.5	142.5	175.5	28.5	210.0	269.5	24.5	200.5	81.0
SCO4075	NC_003888.3	4468766	4469743	-	978	104.0	726.5	17.0	1770.5	383.5	285.0	563.0	205.5	398.0	527.5	347.0	17.0	350.5	1226.0	374.5	412.0	42.5	467.0	698.5	63.5	451.5	185.0
SCO4076	NC_003888.3	4470264	4470578	-	315	1065.0	395.0	66.0	180.0	488.0	364.0	273.0	79.0	506.0	107.0	489.0	55.0	375.0	174.0	485.0	302.0	140.0	370.0	417.0	115.0	398.0	897.0
SCO4077	NC_003888.3	4470929	4471198	+	270	1509.0	1748.5	349.0	1369.5	2107.5	1312.0	1078.5	867.0	2328.0	970.0	1601.5	399.0	1349.0	1398.5	1464.0	720.0	926.0	755.5	1840.5	998.0	1374.0	1767.0
SCO4078	NC_003888.3	4471198	4471875	+	678	1657.0	3878.5	569.5	2600.5	5240.0	2508.5	2587.0	1342.5	5560.0	1417.5	1900.5	667.5	2794.5	5515.5	1879.0	1011.0	1507.5	1117.0	3634.5	1363.0	3074.5	2073.0
SCO4079	NC_003888.3	4471875	4474130	+	2256	1815.0	6628.0	623.5	6554.0	7385.5	4364.5	5564.5	2339.5	7523.0	2689.5	2831.0	629.5	4595.5	9684.0	2941.0	1447.0	1691.5	1462.5	9135.0	1596.0	5383.5	2618.0
SCO4080	NC_003888.3	4474196	4474777	-	582	2189.0	253.0	185.0	778.0	234.0	256.0	160.0	277.0	218.0	429.0	303.0	247.0	249.0	712.0	498.0	274.0	445.0	324.0	319.0	386.0	128.0	2187.0
SCO4081	NC_003888.3	4474926	4475405	+	480	40.5	175.0	49.5	47.5	119.5	68.5	132.0	14.5	94.0	31.0	52.5	55.0	78.0	139.0	42.0	34.0	15.5	29.5	179.0	34.0	72.0	63.5
SCO4082	NC_003888.3	4475477	4476313	+	837	53.5	182.0	30.5	37.5	93.5	48.5	123.0	21.5	126.0	17.0	59.5	29.0	66.0	132.0	60.0	25.0	27.5	28.5	151.0	27.0	156.0	55.5
SCO4083	NC_003888.3	4476421	4477731	+	1311	45.0	55.0	45.0	18.0	46.5	51.5	82.5	5.5	74.0	9.5	77.0	48.5	52.5	157.0	55.0	26.5	21.0	12.5	85.0	38.5	61.5	75.5
SCO4084	NC_003888.3	4477740	4478345	+	606	49.5	130.0	14.0	69.5	134.5	150.5	188.0	18.0	151.0	33.5	106.5	18.5	132.5	248.5	77.0	55.0	20.0	34.0	208.0	19.0	158.5	50.0
SCO4085	NC_003888.3	4478431	4479261	+	831	42.5	117.0	51.0	37.0	106.5	120.5	120.5	30.0	118.0	28.0	77.5	44.0	80.0	154.5	52.0	45.5	19.5	40.5	304.5	19.0	101.5	70.5
SCO4086	NC_003888.3	4479261	4480850	+	1590	7436.5	8171.5	4180.5	12156.5	11125.0	4951.5	3596.0	4581.5	10735.5	6314.0	4977.0	4009.0	5215.5	15072.5	4121.5	2592.5	5166.5	2983.0	5463.5	5393.0	5290.5	8641.0
SCO4087	NC_003888.3	4480933	4481997	+	1065	953.5	536.5	703.5	3054.0	1150.5	350.0	396.0	1297.0	783.5	1293.0	327.0	735.0	446.5	3724.5	433.5	297.5	1234.0	321.0	524.0	1332.5	470.0	1531.0
SCO4088	NC_003888.3	4482081	4482332	-	252	18901.0	13439.0	5538.0	5021.0	27045.0	20671.0	7767.0	3631.0	28401.0	3436.0	36430.0	4734.0	20235.0	7890.0	28179.0	10744.0	6044.0	11094.0	13223.0	5564.0	10498.0	20697.0
SCO4089	NC_003888.3	4482657	4483748	-	1092	2428.0	3921.0	2871.0	6537.0	4170.0	2949.0	1822.0	2010.0	4601.0	4209.0	3542.0	3069.0	2940.0	12408.0	2847.0	3000.0	3772.0	2661.0	3667.0	4257.0	3498.0	2801.0
SCO4090	NC_003888.3	4483978	4484826	+	849	172.25	695.0	132.0	81.0	654.0	443.0	459.0	37.0	664.0	34.0	258.0	120.0	461.0	333.0	157.5	118.0	91.0	82.0	581.0	118.0	600.0	233.0
SCO4091	NC_003888.3	4485363	4485566	+	204	14120.75	23616.0	7006.0	6370.0	48534.0	32160.0	15020.0	4356.0	47497.0	2438.0	21769.0	6387.0	33839.0	11412.0	22943.5	6185.0	6534.0	7340.0	23312.0	6796.0	17826.0	14401.0
SCO4092	NC_003888.3	4486642	4490622	-	3981	1570.0	1779.0	791.0	584.0	1943.0	1143.0	930.0	428.0	1979.0	308.0	1411.0	732.0	1278.0	948.0	1250.0	670.0	786.0	624.0	1315.0	859.0	1016.0	2104.0
SCO4093	NC_003888.3	4491095	4492711	-	1617	88.0	71.0	20.0	19.0	84.0	57.0	73.0	18.0	74.0	12.0	68.0	21.0	82.0	200.0	59.0	25.0	32.0	17.0	56.0	35.0	88.0	114.0
SCO4094	NC_003888.3	4492828	4493175	+	348	300.0	278.0	201.0	253.0	280.0	164.0	199.0	150.5	313.5	81.0	291.0	268.0	246.0	214.5	206.0	281.0	263.0	173.0	325.0	192.0	182.0	464.0
SCO4095	NC_003888.3	4493275	4493829	+	555	50.0	291.0	59.0	89.0	197.0	126.0	270.0	50.5	232.5	80.0	103.0	44.0	150.0	327.5	72.0	65.0	28.0	49.0	380.0	39.0	289.0	70.0
SCO4096	NC_003888.3	4494136	4496355	+	2220	1242.0	5396.0	470.0	1144.0	7837.0	6334.0	10501.0	497.0	4808.0	329.0	1023.0	496.0	6899.0	2065.0	1007.0	740.0	667.0	578.0	14543.0	831.0	3894.0	1738.0
SCO4097	NC_003888.3	4496497	4498029	+	1533	125.0	68.0	33.0	5.0	23.0	33.0	23.0	5.0	16.0	3.0	74.0	26.0	50.0	99.0	70.0	25.0	19.0	29.0	47.0	16.0	40.0	193.0
SCO4098	NC_003888.3	4498222	4498869	-	648	124.0	71.0	74.0	56.0	83.0	48.0	37.0	44.0	75.0	17.0	76.0	98.0	62.0	122.0	85.0	52.0	76.0	71.0	103.0	70.0	64.0	171.0
SCO4099	NC_003888.3	4499009	4499686	+	678	18.5	75.5	12.0	13.0	76.5	63.0	92.5	2.0	87.0	13.0	36.5	13.0	62.5	81.5	27.0	16.0	4.0	12.0	100.5	8.0	116.0	25.0
SCO4100	NC_003888.3	4499727	4500116	+	390	32.5	134.5	20.0	38.0	133.5	106.5	45.5	15.0	124.5	22.5	23.0	32.0	89.5	177.0	36.5	31.5	23.0	31.0	123.5	18.5	107.0	34.0
SCO4101	NC_003888.3	4500126	4500521	+	396	40.0	38.0	42.0	44.0	56.0	42.5	18.0	20.0	51.5	26.5	40.5	25.0	47.0	112.5	38.5	14.5	56.0	22.0	41.0	44.5	28.0	60.0
SCO4102	NC_003888.3	4500508	4501464	-	957	20.5	97.0	12.0	18.5	63.0	46.0	57.5	3.0	62.0	5.0	60.0	12.0	53.0	130.5	42.0	25.0	6.0	15.0	94.0	5.0	99.0	23.5
SCO4103	NC_003888.3	4501527	4502795	-	1269	288.5	308.0	41.0	49.5	299.0	278.0	268.5	15.0	299.0	22.0	233.0	56.0	260.5	217.0	269.0	58.0	29.0	90.0	408.0	33.0	229.0	275.5
SCO4104	NC_003888.3	4502823	4503476	-	654	16.0	2.0	3.0	3.0	1.0	12.0	1.0	0.0	1.0	0.0	10.0	2.0	3.5	83.5	24.0	4.0	3.0	0.0	25.0	2.0	5.0	26.0
SCO4105	NC_003888.3	4503887	4504204	+	318	0.0	10.0	0.0	0.0	0.5	1.5	0.0	0.0	2.0	0.0	9.5	0.0	3.0	31.0	10.5	1.0	0.0	0.0	0.0	0.0	10.0	0.0
SCO4106	NC_003888.3	4504259	4505386	+	1128	19.0	21.0	13.0	23.0	26.5	36.5	42.0	6.0	17.0	6.0	43.5	20.0	47.0	150.0	43.5	9.0	7.0	9.0	17.0	3.0	59.0	31.0
SCO4107	NC_003888.3	4505576	4506937	+	1362	129.0	84.0	12.0	11.0	71.0	47.0	92.0	3.0	71.0	5.0	94.0	14.0	64.0	184.0	86.0	23.0	7.0	14.0	161.0	8.0	108.0	142.0
SCO4108	NC_003888.3	4507333	4508373	+	1041	3861.0	1925.0	1205.0	1150.0	1321.0	1612.0	1582.0	489.0	1543.0	378.0	1057.0	810.0	1471.0	2090.0	1282.0	943.0	531.0	1060.0	1885.0	454.0	837.0	4719.0
SCO4109	NC_003888.3	4508515	4509456	+	942	273.0	46.0	119.0	25.0	39.0	42.0	43.0	20.0	47.0	14.0	50.0	111.0	44.0	115.0	33.0	14.0	32.0	12.0	111.0	31.0	52.0	349.0
SCO4110	NC_003888.3	4509487	4510875	-	1389	595.5	219.0	111.0	114.0	234.0	222.5	144.5	68.0	237.0	65.5	212.0	94.0	275.0	227.5	257.5	132.5	118.5	127.0	313.0	96.0	204.5	648.0
SCO4111	NC_003888.3	4510888	4511700	-	813	229.5	398.0	70.0	72.0	395.0	234.5	191.5	36.0	370.0	49.5	227.0	83.0	280.0	314.5	234.5	99.5	61.5	94.0	281.0	83.0	276.5	240.0
SCO4112	NC_003888.3	4511815	4512222	+	408	27.0	14.0	42.0	19.0	33.0	25.0	25.0	5.0	38.0	10.0	58.0	33.0	35.0	38.0	25.0	22.0	12.0	13.0	23.0	7.0	14.0	52.0
SCO4113	NC_003888.3	4512314	4513591	-	1278	1390.5	3697.5	1294.5	1693.0	3640.5	2872.0	2364.5	467.0	3921.5	686.5	3004.0	1115.5	3119.0	3410.0	2539.0	1851.0	890.0	1261.0	3691.0	970.0	3021.5	1678.0
SCO4114	NC_003888.3	4513665	4515083	-	1419	5288.5	5384.5	1774.5	2648.0	5684.5	4336.0	2534.5	1651.0	6131.5	1003.5	4987.0	1459.5	4518.0	5208.0	5082.0	2493.0	1899.0	1879.0	4430.0	1812.0	3483.5	5944.0
SCO4115	NC_003888.3	4515796	4517916	+	2121	752.5	2788.0	233.0	245.5	2032.5	1843.0	2370.5	57.0	2469.5	185.0	869.0	244.0	1858.5	1149.0	684.0	630.0	199.0	278.0	3787.0	182.0	3070.5	1025.0
SCO4116	NC_003888.3	4517925	4521266	+	3342	149.5	665.0	46.0	148.5	544.5	487.0	559.5	66.0	642.5	75.0	265.0	69.0	455.5	716.0	286.0	119.0	67.0	79.0	1005.0	68.0	673.5	158.0
SCO4117	NC_003888.3	4521259	4523319	-	2061	483.0	165.0	93.0	140.0	143.0	146.0	154.0	56.0	144.0	71.0	130.0	92.0	149.0	359.0	148.0	127.0	218.0	73.0	193.0	203.0	189.0	526.0
SCO4118	NC_003888.3	4523505	4524395	-	891	682.0	1515.0	92.0	350.0	1119.0	1013.0	1218.0	91.0	1176.0	159.0	599.0	110.0	1083.0	764.0	586.0	501.0	142.0	408.0	1931.0	147.0	1687.0	770.0
SCO4119	NC_003888.3	4524821	4526146	+	1326	416.0	477.0	155.0	115.0	373.0	264.0	255.0	43.0	341.0	75.0	210.0	196.0	291.0	287.0	239.0	192.0	120.0	126.0	394.0	116.0	265.0	519.0
SCO4120	NC_003888.3	4526332	4527987	+	1656	117.0	515.0	45.0	66.0	505.0	340.0	348.0	36.0	606.0	32.0	174.0	61.0	407.0	479.0	137.0	104.0	51.0	65.0	667.0	69.0	475.0	151.0
SCO4121	NC_003888.3	4528048	4529322	-	1275	28.0	585.0	47.0	86.0	479.0	323.0	510.0	70.0	366.0	55.0	100.0	55.0	442.0	233.0	145.0	42.0	65.0	39.0	700.0	46.0	269.0	95.0
SCO4122	NC_003888.3	4529468	4530013	+	546	223.0	3513.0	96.0	496.0	5139.0	3162.0	1749.0	275.0	4441.0	195.0	1241.0	61.0	3943.0	815.0	1624.0	536.0	258.0	440.0	2706.0	216.0	2225.0	381.0
SCO4123	NC_003888.3	4535865	4536530	-	666	79.5	127.5	75.0	56.0	118.0	97.0	98.0	37.5	96.0	18.0	69.5	113.0	103.5	180.5	69.0	36.5	38.5	33.0	130.0	43.5	77.0	112.0
SCO4124	NC_003888.3	4536530	4537897	-	1368	50.5	66.5	32.0	19.0	80.0	35.0	44.0	11.5	66.0	12.0	58.5	44.0	48.5	143.5	56.0	22.5	27.5	26.0	99.0	29.5	88.0	59.0
SCO4125	NC_003888.3	4537923	4538453	+	531	136.0	132.0	282.0	50.0	124.0	115.0	82.0	17.0	121.0	22.0	121.0	321.0	91.0	113.0	72.0	73.0	62.0	28.0	128.0	49.0	112.0	197.0
SCO4126	NC_003888.3	4538507	4539991	-	1485	985.0	777.5	361.0	339.0	1263.5	677.0	451.5	217.5	1167.0	213.0	558.0	447.5	770.0	937.5	500.5	290.0	554.0	242.0	693.0	713.5	574.5	1163.5
